track_id,artist,album,track,album_track_seq,track_release_date
7Cuk8jsPPoNYQWXK9XRFvG,"Earth, Wind & Fire",September,September,1,2018-04-17
2opuQE3MDx92ujXUPqdFcb,Eddie Bond,Memphis Rockabilly King,Flip flop Mama,5,2007-05-21
3oAWTk92mZBxKBOKf8mR5v,Eddie Cochran,12 Of His Biggest Hits,Summertime Blues,7,1960-05-01
7b4yGtR0rujvLi5EBfKKJ2,Eddie Money,Can't Hold Back,Take Me Home Tonight,1,1986-10-15
4DhbiXEuV7JxSR0wuqetTa,The Edgar Winter Group,They Only Come Out At Night,Free Ride,4,1972-11-30
2RlgNHKcydI9sayD2Df2xp,Electric Light Orchestra,Out of the Blue,Mr. Blue Sky,13,1977
3gdewACMIVMEWVbyb8O9sY,Elton John,Honky Chateau,"Rocket Man (I Think It's Going To Be A Long, Long Time)",5,1972-05-19
44AyOl4qVkzS48vBsbNXaC,Elvis Presley,Blue Hawaii,Can't Help Falling in Love,5,1961-10-20
2BURVLCtzmNylUqMVCLUbg,"Emerson, Lake & Palmer","Emerson, Lake & Palmer (Deluxe Version)",Lucky Man - 2012 Remastered Version,6,1970-11-20
05XNDab0Lhitzqk7tRpOnY,Emmylou Harris,Pieces Of The Sky (Expanded & Remastered),Boulder to Birmingham - Remastered,4,1975
5RZZxDnWYB9NktDovhyQyj,England Dan & John Ford Coley,The Complete Albums 1976-1979,Nights Are Forever Without You,6,2019-05-03
06TuMCjDEYjTOJScCRzmjf,En Vogue,EV3,Don't Let Go (Love),2,1997-06-17
31H6au3jhblhr6MMJiXnCq,Eric Carmen,The Definitive Collection,Hungry Eyes,17,1997
6zC0mpGYwbNTpk9SKwh08f,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),Wonderful Tonight,2,1977-11-01
3MrRksHupTVEQ7YbA0FsZK,Europe,The Final Countdown (Expanded Edition),The Final Countdown,1,1986
1TfqLAPs4K3s2rJMoCokcS,Eurythmics,Sweet Dreams (Are Made Of This),Sweet Dreams (Are Made of This) - Remastered,6,1983-01-21
0COqiPhxzoWICwFCS4eZcp,Evanescence,Fallen,Bring Me To Life,2,2003-01-01
37EJtTS7jT5WUyXGZzrwnI,Everclear,Sparkle And Fade,Santa Monica,4,1995-01-01
7dblNGnRXEBrVJunazs2U5,The Everly Brothers,The Very Best of The Everly Brothers,All I Have to Do Is Dream,8,1964-08-01
1gVgkQFOKa8Wc1HYsJtPdH,Extreme,Extreme II - Pornograffitti,More Than Words,5,1990-01-01
5qBcafzXycpvGKiKCfTQjd,Fabian Mazur,Arena,Arena,1,2017-09-18
6f3OYG5R630tjwFIHIE7j2,The Fabulous Thunderbirds,The Fabulous Thunderbirds,Scratch My Back,2,1979
4lJ6YVXQ0jUk5ILu0PSrA4,Faces,Ooh La La,Ooh La La,10,1973
3t5C5qQI3wqJasYIKOJEB7,Fairport Convention,Unhalfbricking (Bonus Track Edition),Who Knows Where The Time Goes?,6,1969-07-03
3QHONiXGMGU3z68mQInncF,Diddy,Bad Boy's 10th Anniversary- The Hits,I'll Be Missing You (feat. 112),13,2004-03-09
19P6cJstaoQJHtHW3HOGcg,Tim McGraw,The Rest of Our Life,The Rest of Our Life,1,2017-11-17
